1,1,dl_110085_h1,1.0,350.0
1,2,dl_110085_h1,2.3,382.5
1,3,dl_110085_h1,1.8,370.0
1,4,dl_110085_h1,3.1,410.0
1,5,dl_110085_h1,3.7,470.0
1,6,dl_110085_h1,3.0,400.0
1,7,dl_110085_h1,1.5,362.5
1,8,dl_110085_h1,2.2,380.0
1,9,dl_110085_h1,3.6,460.0
1,10,dl_110085_h1,1.0,350.0
1,11,dl_110085_h1,0.9,345.0
1,12,dl_110085_h1,1.6,365.0
1,13,dl_110085_h1,2.5,387.5
1,14,dl_110085_h1,3.3,430.0
1,15,dl_110085_h1,3.5,450.0
1,16,dl_110085_h1,2.6,390.0
1,17,dl_110085_h1,3.1,410.0
1,18,dl_110085_h1,2.8,395.0
1,19,dl_110085_h1,1.7,367.5
1,20,dl_110085_h1,0.1,305.0
1,21,dl_110085_h1,2.1,377.5
1,22,dl_110085_h1,2.0,375.0
1,23,dl_110085_h1,2.4,385.0
1,24,dl_110085_h1,0.1,305.0
2,1,dl_110085_h1,0.9,345.0
2,2,dl_110085_h1,3.5,450.0
2,3,dl_110085_h1,0.7,335.0
2,4,dl_110085_h1,2.1,377.5
2,5,dl_110085_h1,1.8,370.0
2,6,dl_110085_h1,0.6,330.0
2,7,dl_110085_h1,0.7,335.0
2,8,dl_110085_h1,2.6,390.0
2,9,dl_110085_h1,3.6,460.0
2,10,dl_110085_h1,0.8,340.0
2,11,dl_110085_h1,0.3,315.0
2,12,dl_110085_h1,0.1,305.0
2,13,dl_110085_h1,1.2,355.0
2,14,dl_110085_h1,0.1,305.0
2,15,dl_110085_h1,0.5,325.0
2,16,dl_110085_h1,0.1,305.0
2,17,dl_110085_h1,0.6,330.0
2,18,dl_110085_h1,1.6,365.0
2,19,dl_110085_h1,3.1,410.0
2,20,dl_110085_h1,2.7,392.5
2,21,dl_110085_h1,1.3,357.5
2,22,dl_110085_h1,0.4,320.0
2,23,dl_110085_h1,2.1,377.5
2,24,dl_110085_h1,1.6,365.0
3,1,dl_110085_h1,3.7,470.0
3,2,dl_110085_h1,1.3,357.5
